问题 ID,说明,状态,严重性,故事点,项目路径,位置种类,路径,折线图,列,事件 ID,帮助链接,程序集名称,程序集版本,程序集公钥,片段
Project.0001,项目文件需要转换为 SDK 样式。,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\CapeOpen.csproj,,,,,,,,
Project.0002,需要更改项目的目标框架,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\CapeOpen.csproj,,,,,,,,"当前目标框架: .NETFramework,Version=v4.8 建议的目标框架: net8.0-windows"
Api.0002,对所选 .NET 版本源代码不兼容,Active,Potential,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Properties\Resources.Designer.cs,66,12,T:System.Drawing.Icon,,,,,"get {                  object obj = ResourceManager.GetObject(""epa_seal_medium"", resourceCulture);                  return ((System.Drawing.Icon)(obj));              }"
Api.0002,对所选 .NET 版本源代码不兼容,Active,Potential,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Properties\Resources.Designer.cs,65,8,T:System.Drawing.Icon,,,,,internal static System.Drawing.Icon epa_seal_medium
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Parameters\RealParameter.cs,1328,16,T:System.Windows.Forms.MessageBox,,,,,"System.Windows.Forms.MessageBox.Show(""There is no unit named"" + unit, ""Unit Warning!"");"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Parameters\RealParameter.cs,1328,16,T:System.Windows.Forms.DialogResult,,,,,"System.Windows.Forms.MessageBox.Show(""There is no unit named"" + unit, ""Unit Warning!"");"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Parameters\RealParameter.cs,1328,16,"M:System.Windows.Forms.MessageBox.Show(System.String,System.String)",,,,,"System.Windows.Forms.MessageBox.Show(""There is no unit named"" + unit, ""Unit Warning!"");"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Parameters\RealParameter.cs,1284,16,T:System.Windows.Forms.MessageBox,,,,,"System.Windows.Forms.MessageBox.Show(""There is no unit named"" + unit, ""Unit Warning!"");"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Parameters\RealParameter.cs,1284,16,T:System.Windows.Forms.DialogResult,,,,,"System.Windows.Forms.MessageBox.Show(""There is no unit named"" + unit, ""Unit Warning!"");"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Parameters\RealParameter.cs,1284,16,"M:System.Windows.Forms.MessageBox.Show(System.String,System.String)",,,,,"System.Windows.Forms.MessageBox.Show(""There is no unit named"" + unit, ""Unit Warning!"");"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Parameters\RealParameter.cs,1240,16,T:System.Windows.Forms.MessageBox,,,,,"System.Windows.Forms.MessageBox.Show(""There is no unit named"" + desiredUnit, ""Unit Warning!"");"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Parameters\RealParameter.cs,1240,16,T:System.Windows.Forms.DialogResult,,,,,"System.Windows.Forms.MessageBox.Show(""There is no unit named"" + desiredUnit, ""Unit Warning!"");"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Parameters\RealParameter.cs,1240,16,"M:System.Windows.Forms.MessageBox.Show(System.String,System.String)",,,,,"System.Windows.Forms.MessageBox.Show(""There is no unit named"" + desiredUnit, ""Unit Warning!"");"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Parameters\RealParameter.cs,898,20,T:System.Windows.Forms.MessageBox,,,,,"System.Windows.Forms.MessageBox.Show(""There is no unit named"" + this.Unit, ""Unit Warning!"");"
